metro_fips,metro,metro_ascii,metro_full,county_name,county_fips,state_id,state_name,lat_x,lng_x,population,met,lat_y,lng_y
44700,Stockton,Stockton,"Stockton-Lodi, CA",San Joaquin,6077,CA,California,37.9348,-121.2714,816108,Stockton,,
24660,Greensboro,Greensboro,"Greensboro-High Point, NC",Randolph,37151,NC,North Carolina,36.0259,-79.7916,800722,Greensboro,,
17820,"Colorado Springs, CO","Colorado Springs, CO","Colorado Springs, CO",El Paso,8041,CO,Colorado,38.8426,-104.6578,777635,"Colorado Springs, CO",,
30780,Little Rock,Little Rock,"Little Rock-North Little Rock-Conway, AR",Pulaski,5119,AR,Arkansas,34.7573,-92.3972,770959,Little Rock,,
39340,Provo,Provo,"Provo-Orem-Lehi, UT",Juab,49023,UT,Utah,39.8645,-112.3526,760154,Provo,,
19780,Des Moines,Des Moines,"Des Moines-West Des Moines, IA",Jasper,19099,IA,Iowa,41.5757,-93.7618,753913,Des Moines,,
19660,Deltona,Deltona,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia,12127,FL,Florida,29.174,-81.2197,739516,Deltona,,
28880,Kiryas Joel,Kiryas Joel,"Kiryas Joel-Poughkeepsie-Newburgh, NY",Orange,36071,NY,New York,41.5827,-74.0257,711730,Kiryas Joel,,
31540,"Madison, WI","Madison, WI","Madison, WI",Dane,55025,WI,Wisconsin,43.0802,-89.5922,707606,"Madison, WI",,
49180,Winston,Winston,"Winston-Salem, NC",Davidson,37057,NC,North Carolina,36.0767,-80.3458,705187,Winston,,
10420,"Akron, OH","Akron, OH","Akron, OH",Portage,39133,OH,Ohio,41.1487,-81.3495,702209,"Akron, OH",,
36260,"Ogden, UT","Ogden, UT","Ogden, UT",Weber,49057,UT,Utah,41.1189,-111.8703,669210,"Ogden, UT",,
48620,"Wichita, KS","Wichita, KS","Wichita, KS",Butler,20015,KS,Kansas,37.6387,-97.2454,661217,"Wichita, KS",,
37340,Palm Bay,Palm Bay,"Palm Bay-Melbourne-Titusville, FL",Brevard,12009,FL,Florida,28.2937,-80.7323,658447,Palm Bay,,
45060,"Syracuse, NY","Syracuse, NY","Syracuse, NY",Oswego,36075,NY,New York,43.1545,-76.0336,655189,"Syracuse, NY",,
12260,Augusta,Augusta,"Augusta-Richmond County, GA-SC",Aiken,45003,GA,Georgia,33.461,-81.9829,636658,Augusta,,
20500,Durham,Durham,"Durham-Chapel Hill, NC",Chatham,37037,NC,North Carolina,35.991,-79.0997,620522,Durham,,
25420,Harrisburg,Harrisburg,"Harrisburg-Carlisle, PA",Dauphin,42043,PA,Pennsylvania,40.3267,-77.1012,615361,Harrisburg,,
27140,"Jackson, MS","Jackson, MS","Jackson, MS",Yazoo,28163,MS,Mississippi,32.4278,-90.136,605803,"Jackson, MS",,
